importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
Gamma Catering AG,6331,Hünenberg See,ZG,6324.0,6026.0,12350.0,56.21Z,Services des traiteurs,,,CH
Travino AG,4533,Riedholz,SO,7581.0,4743.0,12324.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MTV Sagl,6900,Lugano,TI,9098.0,3204.0,12302.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Marvida GmbH,4058,Basel,BS,8952.0,3337.0,12289.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Multi-Mercantil SA,6855,Stabio,TI,5535.0,6715.0,12250.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
TODA Suisse GmbH,6330,Cham,ZG,12150.0,0.0,12150.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Casa de Vinos Argentinos Martin Rauh AG,3014,Bern,BE,9618.0,2511.0,12129.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Enoteca Italia GmbH,3600,Thun,BE,7704.0,4341.0,12045.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinhandel Geiselbrecht AG,3280,Murten,FR,9393.0,2615.0,12008.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
S.A.M.E. Société anonyme de,1260,Nyon,VD,7300.0,4383.0,11683.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cinque Sensi GmbH,8173,Neerach,ZH,10746.0,936.0,11682.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MERCATO Sàrl,1207,Genève,GE,9192.0,2489.0,11681.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Carmona Jesus,1004,Lausanne,VD,8747.0,2745.0,11492.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Hahn-Rickli AG,4144,Arlesheim,BL,5936.0,5435.0,11371.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Welschen Group AG,3920,Zermatt,VS,8750.0,2480.0,11230.0,56.10A,"Restaurants, cafés et salons de thé",,,CH
Varela & Orvina AG,8952,Schlieren,ZH,10097.0,1018.0,11115.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Made in Sud GmbH,6003,Luzern,LU,8886.0,2160.0,11046.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Mü's Vinothek AG,8910,Affoltern am Albis,ZH,7679.0,3323.0,11002.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wein Feer,4142,Münchenstein,BL,6165.0,4799.0,10964.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Vinolio Trade SA,6415,Arth,SZ,7755.0,3170.0,10925.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
In Vino Sitis SA,6932,Breganzona,TI,4098.0,6704.0,10802.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Twentywine International SA,1205,Genève,GE,7770.0,3031.0,10801.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Buess,4450,Sissach,BL,9315.0,1419.0,10734.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
VINI TOSCANI S.à r.l.,1166,Perroy,VD,8565.0,2125.0,10690.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Nouvel Horizon Distribution Sàrl,2300,La Chaux-de-Fonds,NE,3068.0,7606.0,10674.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Stutzer & Co AG,8050,Zürich,ZH,8918.0,1503.0,10421.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Cavetta AG,8808,Pfäffikon SZ,SZ,6486.0,3787.0,10273.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cèdre-Maurice AG,8002,Zürich,ZH,6998.0,3231.0,10229.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
La Couleur du Vin S.A.,1762,Givisiez,FR,7293.0,2931.0,10224.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Fine Spirits GmbH,8038,Zürich,ZH,6519.0,3683.0,10202.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
U1 GmbH,3011,Bern,BE,6229.0,3921.0,10150.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
WineCo Nguyen Christophe,2900,Porrentruy,JU,7721.0,2355.0,10076.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
myvinodeal. Inh. Martinovic,8953,Dietikon,ZH,5157.0,4775.0,9932.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Globalpesca SA,6900,Lugano,TI,5436.0,4412.0,9848.0,46.38A,"Commerce de gros de poissons, crustacés et mollusques",,,CH
Les Amis du Château Sàrl,1206,Genève,GE,4395.0,5447.0,9842.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Bloch-Erlanger AG,8862,Schübelbach,SZ,8407.0,1413.0,9820.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
L'Arcobaleno del Vino Sagl,6864,Arzo,TI,4182.0,5598.0,9780.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Right to hear foundation,6430,Schwyz,SZ,5025.0,4725.0,9750.0,88.99B,Autres organisations d'action sociale n.c.a.,"Fondation d'utilité publique. Si elle vend du vin lors d'événements de charité, son statut légal reste celui d'une ONG d'action sociale.",,CH
Château d'Agel Suisse Sàrl,9053,Teufen AR,AR,8088.0,1618.0,9706.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MI TIERRA AG,8640,Rapperswil SG,SG,7991.0,1670.0,9661.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
HG Weindepot AG,9014,St. Gallen,SG,3579.0,6039.0,9618.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kollmann Weinimport,8047,Zürich,ZH,6006.0,3533.0,9539.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
NapaImport GmbH,8002,Zürich,ZH,7159.0,2348.0,9507.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Déménagements-Mudanças Dos Santos Sàrl,1252,Meinier,GE,6589.0,2879.0,9468.0,49.42A,Services de déménagement,"Entreprise spécialisée dans les déménagements et le transport routier (notamment entre la Suisse et le Portugal). Si elle transporte des caisses de vin pour ses clients, son code relève uniquement de la logistique de déménagement.",,CH
Teo Costa CH Sagl,6612,Ascona,TI,5524.0,3899.0,9423.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Die GenussArt GmbH,6204,Sempach,LU,5852.0,3523.0,9375.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Les Vins de Prestige Sagl,6900,Massagno,TI,8528.0,776.0,9304.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Dr. Spengler & Partner AG,8953,Dietikon,ZH,6166.0,3074.0,9240.0,70.10Z,Activités des sièges sociaux,"Cabinet zurichois de conseil, de gestion de fortune et de holding familiale. Bien que lié à des investissements ou des conseils dans le domaine agricole/viticole, son code dépend du management.",,CH
Vinamici GmbH,5012,Schönenwerd,SO,6963.0,2268.0,9231.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fine Wine Fellows AG,8962,Bergdietikon,ZH,4907.0,4318.0,9225.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Savardi Vini Tipici GmbH,8706,Meilen,ZH,6992.0,2214.0,9206.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
CARDEIRA Inh. Erika Suter Meier,8704,Herrliberg,ZH,6840.0,2340.0,9180.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Stutzer Service AG,8951,Fahrweid,ZH,6561.0,2618.0,9179.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
B. Mainente GmbH,7504,Pontresina,GR,6090.0,2993.0,9083.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
wineconsult. GmbH,8280,Kreuzlingen,TG,5041.0,3992.0,9033.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Spirit of Wine SA,6943,Vezia,TI,3891.0,5131.0,9022.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cultweine SA Fine Jewellery & Wines,8001,Zürich,ZH,5194.0,3819.0,9013.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Pur Suisse Alps AG,7500,St. Moritz,GR,4754.0,4219.0,8973.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
KANTOS GmbH,8153,Rümlang,ZH,4433.0,4526.0,8959.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Jean Solis Vins et Eaux-de-Vie,1009,Pully,VD,4929.0,3881.0,8810.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
LA CAVE VEVEY-MONTREUX société,1820,Montreux,VD,8802.0,0.0,8802.0,11.02A,Vinification (Production de vin),"Coopérative viticole majeure de la Riviera (Montreux, VD) qui gère la récolte, le pressurage, la vinification et l'élevage des cépages de la région.",,CH
GastroSud GmbH,3052,Zollikofen,BE,6204.0,2540.0,8744.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Avinum GmbH,9500,Wil SG,SG,5587.0,2957.0,8544.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ibervinos sa,8952,Schlieren,ZH,7177.0,1343.0,8520.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Mago GmbH,4900,Langenthal,BE,1278.0,7125.0,8403.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
zioni GmbH,4051,Basel,BS,4997.0,3402.0,8399.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
American Wines Factory AG,6285,Hitzkirch,LU,6974.0,1418.0,8392.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ALMEIDA WEINE GMBH,8006,Zürich,ZH,6318.0,2013.0,8331.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Casa do Liz M. dos Santos Pereira,1580,Avenches,VD,4140.0,4132.0,8272.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Peter Kuhn Weine Preise wie ab Hof,8157,Dielsdorf,ZH,3870.0,4399.0,8269.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Tokar Sàrl,1205,Genève,GE,4198.0,4007.0,8205.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
KTG Suisse SA,1205,Genève,GE,6181.0,1984.0,8165.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
SWIT Company SA,1204,Genève,GE,5836.0,2273.0,8109.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Tony's Vino SA,8902,Urdorf,ZH,4682.0,3393.0,8075.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MUVINO GmbH,4056,Basel,BS,6255.0,1764.0,8019.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Montalegre Import Sàrl,1007,Lausanne,VD,5016.0,3003.0,8019.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Les Trois Bouchons Sàrl,1245,Collonge-Bellerive,GE,4032.0,3953.0,7985.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Amici di Bacco Sagl,6600,Locarno,TI,5080.0,2875.0,7955.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Droz A. Fils,1211,Genève,GE,7592.0,266.0,7858.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Excellar Sàrl,1205,Genève,GE,2276.0,5464.0,7740.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
LAVINIA (SUISSE) SA,1201,Genève,GE,6063.0,1673.0,7736.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
EUGÈNE ESTABLISHMENT,9486,Schaanwald,FL,6641.0,938.0,7579.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
VinNatur Suisse Sagl,6716,Acquarossa,TI,3276.0,4290.0,7566.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wein Selection ARG AG,6382,Büren NW,NW,7435.0,113.0,7548.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Nemtanu MOLDOWEIN,4056,Basel,BS,5556.0,1977.0,7533.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Veritable Switzerland GmbH,4225,Brislach,SO,6379.0,1129.0,7508.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Irene Huwyler Weine GmbH,6430,Schwyz,SZ,5412.0,2093.0,7505.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Grass Bavrandas GmbH,7530,Zernez,GR,4318.0,3165.0,7483.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini e Amici Sàrl,1632,Riaz,FR,6179.0,1286.0,7465.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Gourmet & Gourmand Sàrl,1020,Renens VD,VD,6192.0,1188.0,7380.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
weinkultur bern gmbh,3007,Bern,BE,810.0,6533.0,7343.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Vinottimo GmbH,5436,Würenlos,AG,5328.0,2000.0,7328.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Bottega del Vino Lischwabrü AG,8598,Bottighofen,TG,5215.0,2075.0,7290.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Schächle AG,9485,Nendeln,FL,2780.0,4476.0,7256.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
Ti-Gros Servizi Sagl,6592,Sant'Antonino,TI,4111.0,3120.0,7231.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wystube Vinothek GmbH,6210,Sursee,LU,4253.0,2957.0,7210.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wein & Sein Ueli Schmidt,8400,Winterthur,ZH,4631.0,2579.0,7210.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
CiboVinum - Import SARL,1217,Meyrin,GE,4379.0,2823.0,7202.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
MAGNIN VINS & SPIRITUEUX SA,1096,Cully,VD,6723.0,437.0,7160.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Evovino AG,8752,Näfels,GL,4036.0,2993.0,7029.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vendanges Vins & Spiritueux JM Sàrl,1004,Lausanne,VD,4651.0,2289.0,6940.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini Fontana GmbH,6318,Walchwil,ZG,4599.0,2331.0,6930.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
da Sabatino,4460,Gelterkinden,BL,5580.0,1346.0,6926.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
World Taste GmbH,3920,Zermatt,VS,5040.0,1852.0,6892.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinimport Buchs + da Silva Ferreira,3792,Saanen,BE,5525.0,1355.0,6880.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Duroc Weinimport GmbH,4613,Rickenbach SO,SO,5381.0,1404.0,6785.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Casa VinDuero - Birkenmaier & Co.,8702,Zollikon,ZH,6773.0,0.0,6773.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinothek Hauser,6003,Luzern,LU,3446.0,3239.0,6685.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Mais Perto Sàrl,1400,Yverdon-les-Bains,VD,5111.0,1566.0,6677.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Donati Vini AG,4052,Basel,BS,3936.0,2731.0,6667.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
WeinHaus Eidmatt GmbH,8032,Zürich,ZH,3875.0,2765.0,6640.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Geschenkidee.ch GmbH,8004,Zürich,ZH,2590.0,4034.0,6624.0,47.91A,Commerce de détail par correspondance ou par Internet,"Plateforme leader de la vente en ligne de cadeaux en Suisse, distribuant des coffrets de vins/spiritueux.",,CH
VidiVinum GmbH,8606,Nänikon,ZH,5599.0,1008.0,6607.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Niederhäusern Getränke AG Zofingen,4800,Zofingen,AG,3429.0,3154.0,6583.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
F I Cantina del Vino GmbH,4533,Riedholz,SO,3043.0,3527.0,6570.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Taberna Gastro-Kultur AG,3005,Bern,BE,1179.0,5358.0,6537.0,56.10A,"Restaurants, cafés et salons de thé",,,CH
Vins de la Bastide SA,8803,Rüschlikon,ZH,4013.0,2512.0,6525.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini e Sensi Pace Vincenzo Mauro,1030,Bussigny,VD,5357.0,1142.0,6499.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Solorca.ch GmbH,8902,Urdorf,ZH,6486.0,0.0,6486.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
"Melanie Gebhart ""GEBHART'S provinum""",9488,Schellenberg,FL,2354.0,4075.0,6429.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
Samy Vins Sàrl,1053,Cugy VD,VD,6260.0,167.0,6427.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Alvino SA,6410,Goldau,SZ,2549.0,3848.0,6397.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Selection Widmer,6274,Eschenbach LU,LU,4200.0,2128.0,6328.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
GVS Schachenmann AG,8207,Schaffhausen,SH,5166.0,1140.0,6306.0,46.61A,Commerce de gros de matériel agricole,"Important fournisseur technique. Bien que lié à l'univers viticole par la vente de machines et fournitures de cave, son code dépend du machinisme agricole.",,CH
SET AG,6015,Luzern,LU,4221.0,2034.0,6255.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wine & Roses titulaire Da Silva,1227,Carouge,GE,5411.0,795.0,6206.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
DalbiGroup SA,6900,Massagno,TI,3375.0,2790.0,6165.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Wassermann&Company AG,4052,Basel,BS,0.0,6092.0,6092.0,56.21Z,Services des traiteurs,,,CH
DiGiovanna SA,6572,Quartino,TI,4490.0,1575.0,6065.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Procava AG,5737,Menziken,AG,4922.0,1087.0,6009.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
I HAVE A DRINK Sàrl,1233,Bernex,GE,3757.0,2248.0,6005.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Mini Mercado Carneiro Dos Santos,8580,Amriswil,TG,4808.0,1179.0,5987.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,,,CH
Neptune Wine Sàrl,1201,Genève,GE,3908.0,2058.0,5966.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cantina Collina d'Oro AG,3425,Koppigen,BE,5058.0,900.0,5958.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Palü Vini GmbH,7504,Pontresina,GR,4776.0,1179.0,5955.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Villanueva Import & Handel GmbH,8005,Zürich,ZH,3758.0,2196.0,5954.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Produits du Douro Gonçalves Barreleiro,1724,Essert FR,FR,4464.0,1490.0,5954.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
PREMWINE GmbH,8872,Weesen,SG,3140.0,2790.0,5930.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Brunner Weinimport GmbH,5014,Gretzenbach,SO,3713.0,2205.0,5918.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini Eccetera J. Roth,8475,Ossingen,ZH,3164.0,2732.0,5896.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
La Grappe Sàrl,1630,Bulle,FR,5351.0,491.0,5842.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
DINOVINO Dino Wintsch,8634,Hombrechtikon,ZH,4807.0,999.0,5806.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Tenuta AIONE Svizzera AG,3011,Bern,BE,5753.0,0.0,5753.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
GM products gmbh,8966,Oberwil-Lieli,ZH,3409.0,2326.0,5735.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Baghera Wines Cellars SA,1201,Genève,GE,4881.0,806.0,5687.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Die Weinliste.ch GmbH,5042,Hirschthal,AG,4031.0,1640.0,5671.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
L'ENOTECA PASQUON,8135,Langnau am Albis,ZH,4688.0,974.0,5662.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
TS Hungarovin GmbH,9620,Lichtensteig,SG,2859.0,2803.0,5662.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wermuth Weinkellerei AG,3600,Thun,BE,3550.0,2100.0,5650.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Regli Weine GmbH,9016,St. Gallen,SG,4306.0,1299.0,5605.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Uvicom SA,8810,Horgen,ZH,3556.0,2016.0,5572.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Antunes Services SARL,1203,Genève,GE,2858.0,2700.0,5558.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fux Weine AG,3902,Glis,VS,4530.0,1022.0,5552.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Plaisir Jéroboam Sàrl,1204,Genève,GE,4242.0,1306.0,5548.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
canons SNC,1007,Lausanne,VD,2300.0,3247.0,5547.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
LELIBAN.CH AZIZ JACQUES,1700,Fribourg,FR,4385.0,1140.0,5525.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
PINOT & FRIENDS GmbH,5612,Villmergen,AG,2457.0,3063.0,5520.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Belbek SA,1204,Genève,GE,4652.0,828.0,5480.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Hédonisme Sàrl,1306,Daillens,VD,4408.0,1041.0,5449.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Les Capitelles Sàrl,3965,Chippis,VS,5436.0,0.0,5436.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
INF Organisation AG,8880,Walenstadt,SG,3539.0,1892.0,5431.0,58.29X,Édition de logiciels d'application,"Éditeur de solutions informatiques et organisateur d'événements professionnels. Si l'entreprise propose du vin ou gère des clubs de dégustation, son code principal reste lié à la tech.",,CH
BelVino AG,7513,Silvaplana,GR,4318.0,1105.0,5423.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Pfyffer SA,3960,Sierre,VS,4809.0,590.0,5399.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vino e Sapori GmbH,8243,Altdorf SH,SH,4487.0,909.0,5396.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Bona aestimare AG,8842,Unteriberg,SZ,4604.0,746.0,5350.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
DeinDeal AG,8048,Zürich,ZH,5247.0,54.0,5301.0,47.91A,Commerce de détail par correspondance ou par Internet,"Plateforme suisse majeure de commerce électronique (e-commerce) proposant des ventes flash, incluant d'importants volumes de vins et spiritueux.",,CH
Kümin Gebr. AG,8807,Freienbach,SZ,3947.0,1350.0,5297.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinhandlung Flisch Büttiker Sybille,3063,Ittigen,BE,4189.0,1080.0,5269.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Carvalho de Sousa José Manuel,1700,Fribourg,FR,3001.0,2245.0,5246.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Gabriele Bava Grandi Vini Sagl,6648,Minusio,TI,2907.0,2331.0,5238.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
AMBRA services SA,1774,Cousset,FR,2152.0,3070.0,5222.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Deluigi Rüfenacht Import,3294,Büren an der Aare,BE,4412.0,790.0,5202.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Sélection du Palais Sàrl,2000,Neuchâtel,NE,2871.0,2318.0,5189.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Manuel Pfund Aromi Terziari,3073,Gümligen,BE,855.0,4316.0,5171.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
S. de Mendieta AG,8606,Nänikon-Greifensee,ZH,5160.0,0.0,5160.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinhaus Zähringer GmbH,8038,Zürich,ZH,1310.0,3833.0,5143.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Michelangelo Morelli AG,8952,Schlieren,ZH,1643.0,3491.0,5134.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
VI Factory Food Sàrl,3963,Crans-Montana,VS,3830.0,1274.0,5104.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Walser Wein-Import,8166,Niederweningen,ZH,4017.0,1040.0,5057.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Oepfelchammer GmbH,8001,Zürich,ZH,2346.0,2709.0,5055.0,56.10A,"Restaurants, cafés et salons de thé",,,CH
Terroirs et Millésimes Sàrl,1204,Genève,GE,825.0,4201.0,5026.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ombre d'Uva di Ivano Carniello,6964,Davesco-Soragno,TI,2883.0,2138.0,5021.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Huberwein GmbH,8583,Götighofen,TG,5003.0,0.0,5003.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinotrade AG,8966,Oberwil-Lieli,ZH,4274.0,709.0,4983.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Nemed Facility GmbH,8032,Zürich,ZH,4455.0,506.0,4961.0,81.21Z,Nettoyage général courant des bâtiments,"Société de services de nettoyage, de conciergerie et de maintenance (facility management). Si elle est liée au secteur viticole, c'est uniquement pour l'entretien technique de caves ou de locaux.",,CH
Lidya Suisse Sàrl,1025,St-Sulpice VD,VD,3825.0,1134.0,4959.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
al vino lounge ag,8599,Salmsach,TG,2777.0,2178.0,4955.0,56.30A,Exploitation de bars,,,CH
Bignens Vins SA,1228,Plan-les-Ouates,GE,3114.0,1831.0,4945.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Cides GmbH,8311,Brütten,ZH,4283.0,662.0,4945.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Casa Tolone GmbH,6004,Luzern,LU,3733.0,1205.0,4938.0,56.10A,"Restaurants, cafés et salons de thé",,,CH
Arte Vino GmbH,9000,St. Gallen,SG,3467.0,1463.0,4930.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vintage Investments AG,6312,Steinhausen,ZG,2172.0,2757.0,4929.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
IWS International Wine and,1227,Carouge,GE,2934.0,1969.0,4903.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Parrot & Lion Sàrl,1212,Grand-Lancy,GE,3400.0,1439.0,4839.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
DRINKVINS Da Rocha Meneses Julio,1203,Genève,GE,3121.0,1715.0,4836.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
